Meme Number,Topic of the Meme,Sentiment,Intent,Description
352,Entertainment,Positive,Relatable,Interview For: Fron Why should we hire you? Gareeb ki dua lagegi sahab ! f G+ t /Bhopali2Much (Forward)
353,Entertainment,Positive,Relatable,"2/2 sarcasmm.exe Jaldi smile kar, teri smile dekh ke khus bhi hona hai"
355,Entertainment,Positive,Satirical,
356,Culture,Positive,Satirical,m fb|T.writes1
357,Entertainment,Positive,Satirical,
358,Culture,Positive,Satirical,He : tum khud ko samajhti kya ho ??? She : Translate Tweet
359,Culture,Positive,Relatable,"Exam anthem Hum honge sabme pass Hum honge sabme pass Hum honge sabme pass 1 dinnnnnnn ... Ho ho ho ... Sote hai bindaas Likhte hai bakwaas, Fir bhi hai vishwaas Marks milenge jhakaas ... 1 din AA"
360,Culture,Positive,Satirical,
361,Entertainment,Positive,Satirical,"3:27 C 00 R O Just.indian.things Salman Khan BeingSalmanKhan I haven't met a single person who doesn't my movie 'Bharat' 15 Ret 6, 6, TouQeeR I don't this movie. 0 27 0 Salman Khan @ I have never met you. 27 0 0 28, all Q Ol"
362,Culture,Positive,Satirical,Love laya tha apke liye ig Lig Kaha rakhu?
363,Entertainment,Positive,Satirical,Zindagi aapko dukh degi par aap mana kar dena nahi chaiye
364,Culture,Neutral,Satirical,Protect your girlfriend your daughter INSTA- THE_REAL_XAVIER_WORLD Love her a wife and respect her your mother. Xavier And lastly get her married to another guy a FATHER ..
365,Social issues,Positive,Informative,
366,Entertainment,Neutral,Relatable,When I Found My Lost Eraser In School Eraser
367,Social issues,Positive,Relatable,"""It's a long story"" ""I have time"""
368,Entertainment,Positive,Satirical,BY S M K H A N dieNJWCB.LUIBei
369,Entertainment,Neutral,Satirical,
370,Politics,Positive,Satirical,"Pakistan steals our culture, inventions, ideas, Fashion, foods, history, and then accuses india of copying them"
371,Culture,Neutral,Satirical,Shahy photography Doctorblogger
372,Culture,Neutral,Satirical,"I HEAR SOMETHING Better run a mile OMG RAJ? I got a master plan, babe. I KNEW MY SPIDEY SENSES WERE RIGHT"
373,Culture,Positive,Satirical,- .com/ODYB Aaja Official
374,Education,Positive,Relatable,amanchouhan ._ ... Teacher : Tum 100 baar puchoge me 100 baar bataunga. Me ask 2nd time : teacher amanchouhan ._ Am Àn me
375,Culture,Positive,Relatable,Jab kisi Larki ko dekhnay k liye rishtay walay aayen Larki aur uski Chhoti behn : .Ki.Chalakiyan
376,Education,Positive,Relatable,Kuch toh bat thi usme Exams ki tension leta tha Lekin parhta phir bhi nhi tha
377,Entertainment,Neutral,Relatable,ANYTHING ELSE?
378,Entertainment,Positive,Satirical,",Ill G ,Il| .A Vo1) 4G1 LTE VA Saverita Fernandes. ""Kartik Aryan always looks he knows you from somewhere but can't remember where"""
379,Culture,Positive,Relatable,
380,Entertainment,Positive,Relatable,78 Phoopò Ki Chalákiyan
381,Entertainment,Positive,Satirical,eat the water GoromKutta help im drowning
382,Entertainment,Positive,Relatable,When teacher don't leave class on time Le we thakky hary students 9 G for So PARLE BakshDo-G
383,Entertainment,Positive,Satirical,Bss isiliye Tera Banda nahi hai
384,Entertainment,Positive,Relatable,Aee chota packet .. Idhar aa .. Nam bata !? Nitya .. Aapka nam kya hai? Bada packet?
385,Entertainment,Neutral,Satirical,WHEN YOUR ROOMMATE FARTS TOO MUCH ME: Padnamat Munke & Detesos ny Sanjay Leela Bhansali WWW.INDIABRIEFS.COM
386,Culture,Positive,Relatable,punjabi.quote PUNJABI QUOTE Punjabi is such a beautiful language where 'love marriage' means 'aulaad hath'on nikal gayi'
387,Entertainment,Positive,Relatable,TUBA& #MoneyHeist Me who don't releasing on 3rd have of December account
388,Entertainment,Neutral,Satirical,Tum so jao Mujhe kisi jaruri kaam se rona hai
389,Culture,Positive,Satirical,main ladis log sy bat nhy krta
390,Entertainment,Positive,Relatable,"""Mai to na sehti"" Bolke sab seh rahi hu!"
391,Entertainment,Positive,Relatable,"AVIofficialaniket. . 55 m sunrisersoran ... shafileo. 10 .justnobili ._ 1.2m 1.6m 0 2.2m bestiies.4ever_ ... Girls' :- I Need Privacy Mom Mom :- Omg ! Why ? Are you okay? 20, all Add a comment ... +"
392,Entertainment,Neutral,Satirical,"Iphone, you tube. BRAINLESS TALES.com"
393,Education,Positive,Informative,| scranur
394,Culture,Negative,Satirical,tum log gaali dena chalu karo mai moot ke ata hu -Mahatma Gandhi
395,Entertainment,Neutral,Satirical,O Youlackhatred1
396,Culture,Positive,Relatable,00
397,Culture,Positive,Relatable,In a Problemship since birth
398,Culture,Positive,Relatable,Girls after applying Coconut Oil Expectation o® Lols.india Reality ®
399,Culture,Positive,Relatable,Ludo is all about - cheating - chillana - board palat k bhag jana
400,Culture,Neutral,Relatable,"""TOMO | o JUISO V No one; 6 years old me trying to balance the light switch"
401,Culture,Neutral,Relatable,Get well soon e Family Page
402,Culture,Positive,Satirical,
403,Culture,Positive,Relatable,"WHAT HAPPENS IN AN EXAM: tik tock, mind block, pen stop, eye pop, full shock, jaw drop, time up, no luck."
404,Culture,Positive,Relatable,sa zal
406,Culture,Positive,Relatable,- f/ludicrousLOL .. ... ... -- --- --
407,Entertainment,Positive,Satirical,"... zay he called me stupid, i said stupid hogi teri aulad', he said 'yeah cause of you'. SHOULD I LAUGH, CRY OR BLUSH IDKKK"
408,Entertainment,Positive,Satirical,"""The RTVPK"""
409,Entertainment,Positive,Satirical,Chussar Friend : Match k bad stadium main garmi ho jati hai pucho kiyu? Me : Kiyu? He : Kiyu k Sary Fans Chaly jaty hain na Me : MOHSINISTIC
410,Entertainment,Positive,Satirical,"CA Bhaiya chini Ha sahab, kitna milega? kilo chaiye? Ok sir, abhi laya"
411,Culture,Positive,Relatable,"""Kitni gori ladki hai yaar yeh toh baat bhi nahi karegi"""
413,Politics,Positive,Informative,Either the Lion is drunk 2 or he needs Zebra's vote in forest elections
414,Entertainment,Neutral,Satirical,I used to think actual jokes were funny now this has me laughing for 30 minutes juice ju
415,Entertainment,Positive,Satirical,Death Note Bhai tera Full name kya tha
416,Culture,Positive,Relatable,
418,Entertainment,Positive,Satirical,- 15 Souper ** .. 15 N 7 - 1). 6 .
419,Entertainment,Neutral,Satirical,"TO PUEDES CON 1000 Visie blue & S , Oficial"
420,Entertainment,Positive,Relatable,When you're making fun of Badshah's fake but suddenly you realize that even your friends are fake :
421,Culture,Positive,Relatable,/LOLWaliBaatein
422,Entertainment,Negative,Relatable,Hey alexa sabko bhaad mein bhej do.
423,Culture,Negative,Relatable,
424,Entertainment,Positive,Satirical,FRB Trolls 15m · 2 Suggest me a low budget new year gift for my 15 years old gf Admin plzz approve mai berojgar hun paise jutane ke liye time lagega isliye 10 din pahle se Fb ... arunmemes45 fo Indianmeme44 ENTRAL Gagan Kamboj School fees bharde uski 1 month ki . Reply . 55m D 15
425,Entertainment,Neutral,Relatable,"WHAT IS YOUR ASSASSIN NAME? FIRST LETTER OF YOUR FIRST NAME A . HIDDEN N. SHADOW B . EAGLE 0 . FLAMING C. SHARP P . DARK D . BLOODY Q. INVISIBLE E. NIGHT R. EYE LONG S . FALLEN G. RISING T . MOON H . SUN U . WHITE I. RED V. ANCIENT J . NOVICE W. LIGHT K. BALD X. SECRET L. SCARLET Y. FIERY M. SHORT Z. DEADLY LAST LETTER OF YOUR LAST NAME A . VISION N. SECRET B. DAGGER 0 . FEATHER VIA .COM C. SWORD P . SUN D. WING Q . ARROW E. BLADE R . TURKEY F. SHADOW S . EAGLE G . KNIFE T. BLOOD H. MOON U . LIGHT I. EYE v . DEMON J. EDEN W. TOMAHAWK K. NIGHT x. REVELATION L. SABER Y. EMBERS M. KILLER Z. NOVICE What's your assassin name? . Comment - Share this. Set Sharp Shadow 2 hrs - hlol Eagle Knife 38 mins - Moon Turkey ?! Are you fucing kidding me ?! How more retarded can an Assassin name be? Hey assassins, lest go hang out with Moon Turkey, oh never mind she did a leap of faith onto some fucking concrete! God ..."
426,Entertainment,Positive,Satirical,If I die Don't You Cry Just Look At the Sky And say Bheli Chi Naagin Ne Gaali ..
427,Culture,Positive,Satirical,
428,Culture,Positive,Relatable,"Pata nahi ye padhai-likhai ka idea kiska tha, Aaram se gufaao mein rehte, patthar se aag jalate, jingalala hu hu karte aur wahi mar jaate."
429,Entertainment,Positive,Relatable,Gaurav Chauhan V Friend - tera bf kissi aur ke sath park me h Nibbi - Translate Tweet AGAR
430,Entertainment,Positive,Satirical,GET IT ON
431,Culture,Positive,Relatable,moizohay_writes
432,Entertainment,Positive,Satirical,Canmaycasm Apni pasandeeda aurat se pitne mai kesi sharam
433,Culture,Positive,Relatable,This is how girls and boys look in ramadan
434,Culture,Neutral,Relatable,"National UPS of Pakistan."""
435,Culture,Neutral,Relatable,Flirtationship; More than a friendship less than a relationship
436,Entertainment,Neutral,Satirical,i saw what you did on character ai
438,Entertainment,Positive,Satirical,Ek to mai khoobsurat Upar se meri baatein ufff ..
439,Entertainment,Positive,Relatable,
440,Culture,Neutral,Relatable,
441,Culture,Neutral,Satirical,mere dost ko tum kya bologi? Beta! Aadl Singh
442,Entertainment,Positive,Relatable,That's my teacher's heart crazynesss_overloaded Who Didn't gave me 2 marks to pass the test
443,Entertainment,Positive,Relatable,16 . ALL ... pubg.epic.memes Wale Khud Ko Bollywood Stars Samjhte Hain ePUBG EPIC MEMES Aur PUBG Wale Khud Ko Army Ke Jawan Q
444,Culture,Neutral,Relatable,* My Mom's reaction * When my sibling When I slap my slap me sibling
445,Culture,Positive,Relatable,WHEN MY RELATIVES VISIT MY HOME ON THE DAY OF RESULT. AA GAYE MERI MAUT KA TAMASHA DEKHNE
446,Entertainment,Positive,Satirical,"After Watching ""The Art Of Bad Words = Me : TEACHER'S DAY Keh k Lena Koi Inse Sekhe !"
447,Politics,Positive,Satirical,
448,Entertainment,Positive,Informative,
449,Culture,Positive,Relatable,"My mom never say ""No"" to me for anything ... She simply do this:"
450,Entertainment,Positive,Satirical,Why fish can't talk? If I put your head under water. Could you speak?
451,Culture,Negative,Satirical,Kya Aapke Toothpaste mai Namak hai ?? Hrithik Mehta LE ME: Hmne kabhi pucha aapsae ki kya aapke Taimur mai Shahid ka khoon hai ??
452,Culture,Positive,Relatable,When you can't wait any longer for Eid.
453,Culture,Positive,Relatable,Wishau f Urdu.Safha WWW.URDUSAFHA.PK O urdusafha
454,Entertainment,Positive,Relatable,dekho sir laraai apni jaga lekn myn apka peecha nhi chorny wali (jaan ho meri)
455,Culture,Positive,Relatable,"When you say ""Hi"" and Other persOn reply with *Aslam-O- Alikum* and making yOu feel so Kafir"
456,Entertainment,Positive,Satirical,ve lo cutie banana khao Orr iske chilke pr fisi krr mere piyar me gir jao?
457,Culture,Positive,Satirical,Pakistani's Empty toothpaste tube
458,Entertainment,Neutral,Satirical,or mere gullu ki haal chaal?
459,Entertainment,Positive,Relatable,Toilet paper math is the hardest kind of math 12= 54 30 68 REGULAR DOUBLE PLUS 12= 72 LOOL LAST SUPER 10= 72 18 82 B REGULAR SUPER Char
460,Entertainment,Positive,Satirical,C LUIZ : - 18. Face
461,Entertainment,Positive,Relatable,"*After CBSE Declare Class 12th Results* Relatives : Aur Beta, Pass Ho Gye? Kitni Percentage Rahi? Topper Ke Kitne Hain? Kis Kis Subject Mein Kitne Marks Aaye? Students Be : sab janna hai iss bhadwe ko"
462,Entertainment,Positive,Relatable,
463,Culture,Positive,Relatable,Padhega India tabhi toh badhega America JUST INDIANS IN AMERICA
